cycle_index,time,focus_score_ratio,full_tenengrad,full_laplacian_var,full_brenner,full_highfreq_ratio,full_local_contrast,full_edge_width,full_halo_width,full_brightness_mean,full_brightness_std,full_red_blue_ratio,full_modified_laplacian,full_dct_energy,full_smd,full_entropy,roi_tenengrad,roi_laplacian_var,roi_brenner,roi_highfreq_ratio,roi_local_contrast,roi_edge_width,roi_halo_width,roi_brightness_mean,roi_brightness_std,roi_red_blue_ratio,roi_modified_laplacian,roi_dct_energy,roi_smd,roi_entropy
153,2026-07-04 22:18:31,1.383177297652942,13401.3242748916,31951.527205158567,646.2652788986816,0.5529208495130623,0.05630361792557184,90.0,5.0,175.07506962827028,25.74031178462673,0.9971439781807042,47.11554435909512,0.014226052050380522,4.304619342162168,1.2414619605073167,27413.48706666667,72551.51022748445,1357.96201901566,0.5868895863551272,0.12527552051519833,97.0,5.0,170.2631888888889,35.91320011806072,0.9550727079648501,105.11831111111111,0.03011370185492509,9.549799331103678,2.446247482698084
154,2026-07-04 22:18:36,1.383177297652942,13401.3242748916,31951.527205158567,646.2652788986816,0.5529208495130623,0.05630361792557184,90.0,5.0,175.07506962827028,25.74031178462673,0.9971439781807042,47.11554435909512,0.014226052050380522,4.304619342162168,1.2414619605073167,27413.48706666667,72551.51022748445,1357.96201901566,0.5868895863551272,0.12527552051519833,97.0,5.0,170.2631888888889,35.91320011806072,0.9550727079648501,105.11831111111111,0.03011370185492509,9.549799331103678,2.446247482698084
155,2026-07-04 22:18:42,1.721506247647094,24278.440801760396,42411.186304607494,1051.517024260525,0.24433915906480944,0.35057040578467724,51.0,2.0,54.06792105818731,49.43062873275185,1.9332961311457475,66.91892264969063,0.1515876586385289,6.301805327274041,6.943347299749724,38469.66593333333,86811.88142785136,1770.481403803132,0.41541072392318296,0.33048552652317675,121.0,5.0,81.23164444444444,48.991392064391405,1.6859821302401197,117.92108888888889,0.13510761574488947,10.467948717948719,6.532698561041174
156,2026-07-04 22:18:48,1.717715278818907,23814.52832632314,41945.85524049296,1035.0774620279935,0.23128919583386512,0.3273274421847799,51.0,2.0,57.316309255079005,50.411838006492694,2.036475072763981,66.55321589229744,0.1368558691284901,6.283446585009978,6.965429090816256,36027.613422222224,84163.6476112573,1679.871001118568,0.4435754118706406,0.27871871830937645,31.0,1.0,92.01815555555555,46.27592130469176,1.9297580245458983,115.80413333333334,0.1070270862129836,10.342564102564102,6.567425336126608
157,2026-07-04 22:18:53,1.717197120080048,24095.959298926547,42152.1789159912,1045.459238373689,0.2399677314886777,0.33567718499720184,51.0,2.0,56.8218348571707,49.72480300073581,1.9580436012147981,67.16924541630804,0.14133238108337734,6.343534506111893,7.009234868571373,39369.66891111111,87614.78156383951,1801.8978299776286,0.3951566542323132,0.3526206960437402,120.0,2.0,77.07532222222223,50.59205387658944,1.6001374818639609,118.51426666666667,0.14687527110603063,10.488210702341137,6.324495383845712
158,2026-07-04 22:18:59,1.7233327791022774,24335.380054647027,42368.288464541096,1052.0161082282164,0.2232933946967321,0.3349603538176147,51.0,2.0,57.64976168049759,51.59950323057843,1.9099954900238985,67.19029426571609,0.13719636568172464,6.3265110177908745,7.053622785957197,38383.33724444445,86489.66916254025,1765.8177572706936,0.4002139461283548,0.32509546092621516,38.0,1.0,82.13714444444444,49.86182733048089,1.7579934663019774,117.45493333333333,0.13143285956516332,10.422720178372352,6.712714085385394
159,2026-07-04 22:19:04,1.7361773252167028,23896.5745895383,41976.35787895862,1036.3102671367733,0.2149484459014482,0.3226037131601504,51.0,2.0,58.960201252090876,52.255873102080294,1.9735814772031808,66.9004701430729,0.1292979503981002,6.30773180917368,7.060779100076738,38189.83588888889,86404.14609303654,1759.173187919463,0.4134046374583947,0.3267224721405505,120.0,2.0,81.63363333333334,48.94791413010137,1.811877115740494,117.51362222222222,0.13305923200767567,10.422190635451505,6.3348326896435445
160,2026-07-04 22:19:10,1.7443716033811514,24535.96190744921,42671.30810800943,1061.9117358668864,0.24324719174429943,0.35191151357512956,51.0,2.0,54.59927509459701,49.7295318596131,1.901821120342309,67.62669300225734,0.15078931549209054,6.366805062298367,6.98209738756361,41591.88486666667,89806.84160653778,1883.7478579418344,0.37584032309993076,0.4073270158216335,121.0,3.0,69.4159,52.97255845635759,1.4854017977071046,120.09217777777778,0.173004933514416,10.590128205128206,6.049179169517341
161,2026-07-04 22:19:16,1.7277299552017205,24025.517463906977,42192.05422983407,1042.9726438589462,0.24259883607838856,0.3367116480615523,51.0,2.0,56.08186802702308,49.4254519867823,2.005490868724038,66.90934724004093,0.14352318087852678,6.311945963440602,6.963779389945109,37469.23637777778,85758.37183632543,1733.002293064877,0.4277018310730164,0.3084087175398437,120.0,5.0,85.46582222222223,47.7901866808513,1.8253375205253075,116.91964444444444,0.12332207641085752,10.392346711259755,6.511184644826082
162,2026-07-04 22:19:21,1.7246459361571154,23912.96339339364,42086.06146739038,1038.735754813617,0.23665508102930774,0.32850550770848275,51.0,2.0,57.44055105802491,49.8922310011935,2.0222608557309387,67.04508582750053,0.13834082264392625,6.3221675969000435,6.988197104327167,38354.20784444444,86492.81445277581,1764.2628859060403,0.403566348550786,0.3301307092676885,120.0,2.0,80.96383333333333,49.610168007677615,1.7595338351428933,117.54986666666667,0.13477812488218877,10.431064659977704,6.611129367652522
