index,wavelength,median_filtered_y,lorentz_fit_y,residual
222,505.967000,1192.000000,1203.597335,-11.597335
223,506.002000,1187.000000,1203.599870,-16.599870
224,506.037000,1187.000000,1203.602430,-16.602430
225,506.072000,1187.000000,1203.605016,-16.605016
226,506.107000,1187.000000,1203.607628,-16.607628
227,506.142000,1187.000000,1203.610266,-16.610266
228,506.176000,1187.000000,1203.612931,-16.612931
229,506.211000,1187.000000,1203.615623,-16.615623
230,506.246000,1187.000000,1203.618342,-16.618342
231,506.281000,1187.000000,1203.621089,-16.621089
232,506.316000,1191.000000,1203.623864,-12.623864
233,506.350000,1196.000000,1203.626667,-7.626667
234,506.385000,1201.000000,1203.629499,-2.629499
235,506.420000,1203.000000,1203.632361,-0.632361
236,506.455000,1206.000000,1203.635252,2.364748
237,506.490000,1206.000000,1203.638173,2.361827
238,506.525000,1206.000000,1203.641125,2.358875
239,506.559000,1213.000000,1203.644108,9.355892
240,506.594000,1191.000000,1203.647122,-12.647122
241,506.629000,1186.000000,1203.650168,-17.650168
242,506.664000,1186.000000,1203.653247,-17.653247
243,506.699000,1194.000000,1203.656358,-9.656358
244,506.734000,1186.000000,1203.659502,-17.659502
245,506.768000,1194.000000,1203.662680,-9.662680
246,506.803000,1195.000000,1203.665892,-8.665892
247,506.838000,1196.000000,1203.669138,-7.669138
248,506.873000,1207.000000,1203.672420,3.327580
249,506.908000,1207.000000,1203.675737,3.324263
250,506.942000,1207.000000,1203.679091,3.320909
251,506.977000,1205.000000,1203.682481,1.317519
252,507.012000,1205.000000,1203.685909,1.314091
253,507.047000,1184.000000,1203.689374,-19.689374
254,507.082000,1200.000000,1203.692877,-3.692877
255,507.116000,1200.000000,1203.696420,-3.696420
256,507.151000,1200.000000,1203.700001,-3.700001
257,507.186000,1196.000000,1203.703623,-7.703623
258,507.221000,1196.000000,1203.707286,-7.707286
259,507.256000,1190.000000,1203.710990,-13.710990
260,507.290000,1190.000000,1203.714735,-13.714735
261,507.325000,1196.000000,1203.718524,-7.718524
262,507.360000,1190.000000,1203.722355,-13.722355
263,507.395000,1189.000000,1203.726230,-14.726230
264,507.430000,1201.000000,1203.730150,-2.730150
265,507.464000,1201.000000,1203.734114,-2.734114
266,507.499000,1205.000000,1203.738125,1.261875
267,507.534000,1205.000000,1203.742182,1.257818
268,507.569000,1209.000000,1203.746287,5.253713
269,507.604000,1210.000000,1203.750439,6.249561
270,507.638000,1210.000000,1203.754641,6.245359
271,507.673000,1208.000000,1203.758891,4.241109
272,507.708000,1208.000000,1203.763193,4.236807
273,507.743000,1208.000000,1203.767545,4.232455
274,507.778000,1208.000000,1203.771949,4.228051
275,507.812000,1212.000000,1203.776406,8.223594
276,507.847000,1212.000000,1203.780917,8.219083
277,507.882000,1214.000000,1203.785482,10.214518
278,507.917000,1214.000000,1203.790102,10.209898
279,507.952000,1208.000000,1203.794779,4.205221
280,507.986000,1203.000000,1203.799512,-0.799512
281,508.021000,1208.000000,1203.804304,4.195696
282,508.056000,1203.000000,1203.809155,-0.809155
283,508.091000,1203.000000,1203.814066,-0.814066
284,508.126000,1206.000000,1203.819038,2.180962
285,508.160000,1209.000000,1203.824072,5.175928
286,508.195000,1211.000000,1203.829169,7.170831
287,508.230000,1211.000000,1203.834330,7.165670
288,508.265000,1211.000000,1203.839556,7.160444
289,508.299000,1211.000000,1203.844849,7.155151
290,508.334000,1210.000000,1203.850209,6.149791
291,508.369000,1210.000000,1203.855637,6.144363
292,508.404000,1211.000000,1203.861136,7.138864
293,508.439000,1212.000000,1203.866705,8.133295
294,508.473000,1211.000000,1203.872346,7.127654
295,508.508000,1211.000000,1203.878061,7.121939
296,508.543000,1205.000000,1203.883850,1.116150
297,508.578000,1200.000000,1203.889716,-3.889716
298,508.612000,1200.000000,1203.895658,-3.895658
299,508.647000,1205.000000,1203.901680,1.098320
300,508.682000,1205.000000,1203.907781,1.092219
301,508.717000,1205.000000,1203.913964,1.086036
302,508.752000,1205.000000,1203.920230,1.079770
303,508.786000,1198.000000,1203.926580,-5.926580
304,508.821000,1198.000000,1203.933016,-5.933016
305,508.856000,1198.000000,1203.939540,-5.939540
306,508.891000,1202.000000,1203.946152,-1.946152
307,508.925000,1202.000000,1203.952856,-1.952856
308,508.960000,1214.000000,1203.959652,10.040348
309,508.995000,1214.000000,1203.966542,10.033458
310,509.030000,1202.000000,1203.973527,-1.973527
311,509.064000,1218.000000,1203.980611,14.019389
312,509.099000,1218.000000,1203.987794,14.012206
313,509.134000,1199.000000,1203.995078,-4.995078
314,509.169000,1194.000000,1204.002465,-10.002465
315,509.203000,1199.000000,1204.009957,-5.009957
316,509.238000,1199.000000,1204.017557,-5.017557
317,509.273000,1199.000000,1204.025265,-5.025265
318,509.308000,1201.000000,1204.033085,-3.033085
319,509.342000,1201.000000,1204.041019,-3.041019
320,509.377000,1198.000000,1204.049068,-6.049068
321,509.412000,1195.000000,1204.057235,-9.057235
